model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m,61,0.64855,0.39857,0.64421,0.63348,0.6387999449000628,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,62,0.6659,0.3971,0.65914,0.66966,0.6643583570133471,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,63,0.63821,0.39144,0.63593,0.64347,0.6396777819285293,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,64,0.66638,0.40511,0.67736,0.66646,0.6718657939302348,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,65,0.67292,0.40426,0.66761,0.67805,0.6727895018053054,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,66,0.68364,0.4197,0.63517,0.68571,0.6594731098959334,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,67,0.67042,0.40943,0.63352,0.70328,0.6665798108911829,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,68,0.665,0.40866,0.64857,0.68819,0.6677928548126306,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,69,0.66853,0.40589,0.62327,0.68083,0.6507797164322898,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,70,0.69249,0.42161,0.68917,0.67271,0.680840530295855,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,71,0.67302,0.4133,0.62663,0.70507,0.663539857474909,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,72,0.64909,0.39574,0.61251,0.66998,0.6399573482829183,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,73,0.66012,0.41009,0.65633,0.64891,0.6525989094720873,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,74,0.67384,0.40663,0.67254,0.68995,0.6811337668528348,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,75,0.63109,0.3922,0.58855,0.67462,0.6286526769946811,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,76,0.65175,0.40583,0.6112,0.68791,0.6472902094505875,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,77,0.65706,0.40349,0.64448,0.67402,0.6589190892676079,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,78,0.65304,0.40651,0.63223,0.64872,0.6403688599862286,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,79,0.6554,0.40852,0.6452,0.67348,0.6590367579695914,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,80,0.622,0.39343,0.64931,0.60289,0.6252395877650333,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,81,0.6532,0.39928,0.6283,0.67107,0.6489810923750363,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,82,0.64692,0.40077,0.6134,0.65777,0.6348106358703911,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,83,0.62815,0.3927,0.65295,0.61831,0.635158055000051,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,84,0.65587,0.40741,0.67882,0.64907,0.6636117410322665,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,85,0.64075,0.38633,0.68003,0.61286,0.6447001458742471,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,86,0.63854,0.39573,0.65691,0.65955,0.6582273529004616,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,87,0.62325,0.3888,0.66823,0.6207,0.6435886526028227,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,88,0.63573,0.39207,0.64339,0.61916,0.6310424971679292,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,89,0.64551,0.39672,0.69573,0.61134,0.6508107112850491,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,90,0.645,0.40244,0.66351,0.64274,0.6529598735306006,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,91,0.63249,0.38814,0.6336,0.6611,0.6470579439247338,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,92,0.64477,0.40084,0.63873,0.65568,0.6470940218318407,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,93,0.64329,0.4032,0.65848,0.64155,0.6499047621972954,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,94,0.64939,0.4018,0.67366,0.63866,0.6556932693240553,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,95,0.64529,0.40563,0.65787,0.64476,0.651249028810444,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,96,0.64343,0.40336,0.6806,0.62124,0.6495666810048474,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,97,0.65229,0.40434,0.63315,0.6677,0.6499661836486527,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,98,0.65638,0.4048,0.61845,0.69211,0.6532099705464434,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,98,0.7056760038934026,0.43925404312451183,0.6870735075356684,0.66,0.6732646918471111,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
