model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m,45,0.62388,0.38565,0.60305,0.63973,0.6208487045167923,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,46,0.6959,0.42801,0.66653,0.69429,0.6801268554249054,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,47,0.69493,0.43525,0.69411,0.68068,0.6873294027446465,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,48,0.64527,0.40407,0.64997,0.62691,0.6382317722882038,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,49,0.64631,0.41275,0.64489,0.65779,0.6512761278282837,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,50,0.63948,0.39859,0.63286,0.61147,0.6219811532305561,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,51,0.66381,0.41316,0.64433,0.66338,0.6537162450385378,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,52,0.69013,0.40907,0.68977,0.65223,0.6704749435166388,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,53,0.66233,0.4031,0.66368,0.6205,0.641364045538288,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,54,0.70457,0.43718,0.62763,0.71507,0.668502843672698,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,55,0.66743,0.4233,0.6799,0.64479,0.6618797167634224,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,56,0.67037,0.41586,0.66199,0.65818,0.6600795021848245,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,57,0.66417,0.40079,0.62728,0.68965,0.6569880737771505,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,58,0.65947,0.41342,0.65508,0.68653,0.6704363748029081,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,59,0.64366,0.40035,0.66008,0.63512,0.6473594959846762,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,60,0.69841,0.43078,0.69515,0.66364,0.6790296454929172,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,61,0.60282,0.37723,0.60936,0.62055,0.6149040954211162,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,62,0.68995,0.42832,0.65904,0.69298,0.6755839990527687,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,63,0.65206,0.40672,0.67238,0.63595,0.6536578095735375,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,64,0.67383,0.42738,0.68809,0.67968,0.683859144738747,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,65,0.65508,0.39068,0.63049,0.67132,0.650264703450849,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,66,0.68575,0.4212,0.6685,0.68349,0.6759119002354486,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,67,0.67956,0.42307,0.6503,0.67033,0.6601631024581751,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,68,0.66169,0.41368,0.61319,0.67286,0.6416407191006247,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
