model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m,58,0.64841,0.4029,0.60968,0.65114,0.6297283279130805,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,59,0.6444,0.3949,0.55171,0.73116,0.6288841170183816,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,60,0.68464,0.43152,0.60419,0.69947,0.6483481571877265,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,61,0.66478,0.40241,0.61084,0.69382,0.6496911207512688,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,62,0.66113,0.41736,0.60413,0.70027,0.6486570302049611,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,63,0.64825,0.40363,0.56149,0.72687,0.6335655194195462,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,64,0.65518,0.41305,0.58629,0.70156,0.6387663352093498,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,65,0.61141,0.38133,0.52569,0.71714,0.6066691769585488,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,66,0.65864,0.40586,0.6455,0.6513,0.648387029610851,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,67,0.67417,0.42167,0.64299,0.64,0.6414915159115492,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,68,0.65796,0.40449,0.56426,0.70721,0.6276991428813675,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,69,0.63028,0.39926,0.54148,0.69694,0.6094524817100745,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,70,0.62511,0.39996,0.62104,0.61389,0.6174443014578822,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,71,0.65043,0.4103,0.58205,0.68063,0.6274918292832485,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,72,0.6328,0.39334,0.57814,0.66985,0.6206252918688285,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,73,0.63949,0.40233,0.57856,0.69857,0.6329264197061905,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,74,0.64266,0.39352,0.6014,0.6577,0.6282912874270284,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,75,0.65936,0.40446,0.64425,0.65485,0.6495067546758143,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,76,0.67271,0.42011,0.6477,0.67286,0.6600403192579967,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,77,0.66522,0.40975,0.6589,0.6259,0.6419761986296373,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,78,0.67689,0.41764,0.62781,0.69913,0.6615533562929283,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,79,0.66139,0.40315,0.58066,0.6992,0.6344404419228395,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,80,0.66799,0.41451,0.60693,0.67111,0.6374085197641408,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,81,0.66088,0.4142,0.61058,0.65732,0.6330884858422327,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,82,0.67505,0.42329,0.6256,0.68067,0.6519741737920552,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,83,0.67878,0.42721,0.63269,0.70159,0.6653610592973997,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,84,0.67173,0.41968,0.61672,0.66294,0.6389952906235726,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,85,0.67981,0.41993,0.59283,0.74493,0.6602333032826065,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,86,0.6537,0.40364,0.58749,0.68917,0.634280831700974,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,87,0.65009,0.40614,0.59443,0.68351,0.6358652977443103,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,88,0.65652,0.40676,0.58108,0.72853,0.6465042453855372,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,89,0.65506,0.40486,0.58554,0.71517,0.6438954752399504,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,90,0.66146,0.41166,0.61813,0.69848,0.6558532023904908,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,91,0.63276,0.4021,0.57355,0.69271,0.6275232898451918,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
