model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m,60,0.60737,0.37719,0.52546,0.68188,0.5935373048183664,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,61,0.57721,0.36979,0.57007,0.58857,0.5791723052884594,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,62,0.58042,0.35763,0.54776,0.62238,0.5826907358088924,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,63,0.59214,0.37612,0.55293,0.62698,0.587631347136148,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,64,0.58772,0.36511,0.56054,0.63418,0.5950904935042561,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,65,0.5586,0.3514,0.52411,0.61565,0.5662039753978327,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,66,0.57018,0.36107,0.56025,0.61175,0.5848684940268046,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,67,0.59214,0.37697,0.57126,0.61435,0.5920219650638977,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,68,0.58463,0.36902,0.54882,0.61781,0.5812750987026037,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,69,0.57605,0.37104,0.57206,0.58515,0.5785309649928893,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,70,0.59247,0.37569,0.56892,0.63034,0.5980571899332938,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,71,0.5808,0.36598,0.5274,0.66,0.5862961091455395,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,72,0.56008,0.3527,0.57328,0.5679,0.5705773182139798,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,73,0.57714,0.36774,0.55222,0.63277,0.5897572965167726,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,74,0.58309,0.36625,0.58943,0.59847,0.5939156024912923,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,75,0.57884,0.36614,0.55221,0.63054,0.5887812190229644,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,76,0.56716,0.35687,0.52384,0.63252,0.5730728783418891,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,77,0.58336,0.36602,0.53921,0.64286,0.5864907164545361,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,78,0.5784,0.35576,0.57421,0.59643,0.5851091203097577,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,79,0.58752,0.36793,0.58127,0.61295,0.5966898000363444,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,80,0.58418,0.36269,0.57035,0.61985,0.5940706561917375,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,81,0.58049,0.36544,0.56001,0.61857,0.5878351672346486,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
