model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m,51,0.62198,0.40128,0.55843,0.67316,0.6104511059682114,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,52,0.6246,0.396,0.57894,0.66157,0.6175030202089322,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,53,0.62325,0.39089,0.5733,0.63674,0.6033569832397248,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,54,0.64616,0.41041,0.60363,0.66286,0.6318599938407472,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,55,0.60646,0.38175,0.57559,0.59143,0.5834025015847343,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,56,0.59656,0.37237,0.5509,0.64338,0.5935593696615586,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,57,0.62595,0.39387,0.60755,0.65857,0.6320320404064134,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,58,0.61291,0.38663,0.57328,0.63082,0.6006751758154634,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,59,0.64253,0.39502,0.60938,0.62862,0.6188504936990153,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,60,0.64674,0.39311,0.62678,0.65186,0.6390740330346,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,61,0.62337,0.38483,0.57943,0.64118,0.6087430504414933,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,62,0.6108,0.38444,0.58227,0.66034,0.6188525310430313,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,63,0.6313,0.39779,0.57038,0.68387,0.6219904653772198,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,64,0.6159,0.37519,0.58842,0.61454,0.6011964268133594,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,65,0.61245,0.38563,0.51925,0.7213,0.603820926201601,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,66,0.60773,0.38268,0.56292,0.66353,0.6090983042108451,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,67,0.62401,0.40224,0.56913,0.67649,0.6181833202737446,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,68,0.63153,0.39676,0.62725,0.64788,0.637398116269998,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,69,0.63425,0.39872,0.62663,0.61512,0.6208216558883665,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,70,0.61464,0.38655,0.60982,0.64133,0.6251782130035366,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,71,0.62345,0.38339,0.61271,0.61673,0.6147134277389587,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,72,0.60636,0.38236,0.57235,0.65509,0.6109313066214145,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,73,0.62353,0.388,0.58607,0.65924,0.6205053951220014,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,74,0.60584,0.37706,0.56309,0.62753,0.5935661549439841,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,75,0.64286,0.39951,0.5884,0.67335,0.6280152803640752,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,76,0.61619,0.3856,0.58327,0.65429,0.616742183489595,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,77,0.63975,0.39855,0.59057,0.68,0.6321377019757808,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,78,0.64798,0.40379,0.63284,0.65502,0.6437390039284986,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,79,0.63136,0.3927,0.57923,0.66887,0.6208309752418709,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,80,0.63286,0.3901,0.56226,0.68824,0.6189041541778336,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
