model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m,66,0.64537,0.40399,0.64828,0.60049,0.6234705465372938,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,67,0.66702,0.42716,0.58501,0.69264,0.6342915922195952,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,68,0.64629,0.40512,0.61358,0.66999,0.640545454006684,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,69,0.66537,0.41328,0.619,0.65167,0.6349150133389196,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,70,0.64999,0.4118,0.59294,0.69968,0.6419028936573457,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,71,0.65072,0.40877,0.60219,0.63327,0.6173390660963387,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,72,0.65394,0.41051,0.6192,0.67853,0.6475087668462256,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,73,0.66396,0.42652,0.59797,0.69347,0.6421889610042725,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,74,0.64508,0.40562,0.57632,0.67246,0.6206892282062327,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,75,0.66619,0.42079,0.64991,0.61259,0.6306984030094014,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,76,0.66261,0.41372,0.5854,0.66178,0.62125116182057,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,77,0.68285,0.42854,0.6156,0.68834,0.6499411077191819,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,78,0.68612,0.42935,0.60805,0.72258,0.6603860862894565,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,79,0.68463,0.43233,0.61038,0.71908,0.6602862070309296,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,80,0.65398,0.40931,0.56689,0.70574,0.6287404015301944,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,81,0.64821,0.41295,0.60517,0.66158,0.6321189952234993,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,82,0.67617,0.42782,0.6293,0.66746,0.6478185292570345,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,83,0.65753,0.42158,0.60201,0.71146,0.6521748263754389,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,84,0.65646,0.41821,0.656,0.61714,0.6359769389064548,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,85,0.65586,0.41782,0.61511,0.67,0.6413827610082862,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
