model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m,69,0.6636,0.39673,0.63219,0.66488,0.6481230576602279,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,70,0.6857,0.41386,0.69851,0.67555,0.6868381737328159,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,71,0.6751,0.39976,0.71864,0.64058,0.6773685072315905,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,72,0.68957,0.41427,0.68359,0.69382,0.6886670109838837,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,73,0.67182,0.40494,0.71868,0.64416,0.6793826256929064,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,74,0.6661,0.4008,0.64073,0.68387,0.6615975012829067,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,75,0.63861,0.37777,0.63181,0.66853,0.649651536213106,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,76,0.67042,0.40365,0.72791,0.6277,0.6741011161022166,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,77,0.68774,0.40658,0.71064,0.68286,0.6964730970931493,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,78,0.69567,0.41318,0.69181,0.69108,0.6914448073232928,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,79,0.67543,0.40076,0.69731,0.65429,0.6751153594253662,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,80,0.68146,0.40743,0.7326,0.65857,0.6936152763496239,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,81,0.65344,0.39373,0.70525,0.65062,0.6768344384043626,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,82,0.68882,0.41233,0.70394,0.67956,0.6915351881455066,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,83,0.67392,0.40334,0.70769,0.65286,0.6791701788242408,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,84,0.68925,0.41029,0.68335,0.70401,0.6935261698472684,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
