model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m,66,0.64701,0.4034,0.63907,0.6408,0.6399338307791885,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,67,0.63481,0.39451,0.57847,0.64999,0.612148080197473,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,68,0.62025,0.38938,0.62358,0.6297,0.6266250574487531,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,69,0.61189,0.38787,0.54602,0.679,0.6052922891049898,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,70,0.63103,0.40342,0.64414,0.63689,0.6404944842816792,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,71,0.63413,0.39753,0.63903,0.62321,0.6310208618007422,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,72,0.61963,0.39262,0.63542,0.60571,0.6202094030435005,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,73,0.63386,0.40261,0.63871,0.63714,0.6379240340160379,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,74,0.64701,0.40724,0.63385,0.59,0.6111394370220115,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,75,0.66146,0.41892,0.60833,0.69815,0.6501524546869066,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,76,0.649,0.40451,0.64636,0.61541,0.6305054131889088,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
